question,context,answer
Apa tujuan utama Sekutu datang ke Indonesia?,Tujuan utama Sekutu datang ke Indonesia adalah melucuti senjata tentara Jepang dan membebaskan tawanan perang,Melucuti senjata tentara Jepang dan membebaskan tawanan perang
Apa yang dimaksud dengan NICA?,"NICA adalah singkatan dari Netherlands Indies Civil Administration, yaitu pemerintahan sipil Belanda yang berusaha merebut kembali Indonesia","Netherlands Indies Civil Administration, yaitu pemerintahan sipil Belanda yang berusaha merebut kembali Indonesia"
Mengapa NICA menjadi ancaman bagi kemerdekaan Indonesia?,NICA menjadi ancaman bagi kemerdekaan Indonesia karena mereka mendukung kembalinya kekuasaan kolonial Belanda,Karena mereka mendukung kembalinya kekuasaan kolonial Belanda
Apa reaksi rakyat Indonesia terhadap kedatangan NICA?,Reaksi rakyat Indonesia terhadap kedatangan NICA adalah melakukan perlawanan bersenjata untuk mempertahankan kemerdekaan,Melakukan perlawanan bersenjata untuk mempertahankan kemerdekaan
Apa yang terjadi pada peristiwa Pertempuran Surabaya?,Peristiwa Pertempuran Surabaya adalah perlawanan besar rakyat Indonesia melawan pasukan Sekutu yang terjadi pada 10 November 1945,Perlawanan besar rakyat Indonesia melawan pasukan Sekutu yang terjadi pada 10 November 1945
Mengapa tanggal 10 November diperingati sebagai Hari Pahlawan?,Tanggal 10 November diperingati sebagai Hari Pahlawan karena pada hari itu rakyat Surabaya berjuang habis habisan melawan pasukan Sekutu,Karena pada hari itu rakyat Surabaya berjuang habis habisan melawan pasukan Sekutu
Siapa tokoh penting dalam Pertempuran Surabaya?,"Tokoh penting dalam Pertempuran Surabaya adalah Bung Tomo, yang memimpin semangat perjuangan rakyat melalui siaran radio","Bung Tomo, yang memimpin semangat perjuangan rakyat melalui siaran radio"
Apa yang terjadi pada Peristiwa Bandung Lautan Api?,Peristiwa Bandung Lautan Api adalah pembakaran kota Bandung oleh pejuang Indonesia untuk mencegah dikuasai oleh pasukan Sekutu dan NICA,Pembakaran kota Bandung oleh pejuang Indonesia untuk mencegah dikuasai oleh pasukan Sekutu dan NICA
Kapan Peristiwa Bandung Lautan Api terjadi?,Peristiwa Bandung Lautan Api terjadi pada 24 Maret 1946,Pada 24 Maret 1946
Apa tujuan taktik bumi hangus dalam Peristiwa Bandung Lautan Api?,Tujuan taktik bumi hangus dalam Peristiwa Bandung Lautan Api adalah untuk menghalangi pasukan musuh memanfaatkan kota sebagai basis militer,Untuk menghalangi pasukan musuh memanfaatkan kota sebagai basis militer
Apa yang dimaksud dengan Peristiwa Medan Area?,Peristiwa Medan Area adalah konflik antara pejuang Indonesia dan pasukan Sekutu di Medan yang terjadi pada Oktober 1945,konflik antara pejuang Indonesia dan pasukan Sekutu di Medan yang terjadi pada Oktober 1945
Apa hasil Peristiwa Medan Area?,Hasil Peristiwa Medan Area adalah meningkatnya semangat perjuangan rakyat Sumatra Utara dalam mempertahankan kemerdekaan,Meningkatnya semangat perjuangan rakyat Sumatra Utara dalam mempertahankan kemerdekaan
Apa yang dimaksud dengan Peristiwa Palagan Ambarawa?,Peristiwa Palagan Ambarawa adalah pertempuran besar antara pasukan TKR dan Sekutu yang terjadi di Ambarawa pada Desember 1945,Pertempuran besar antara pasukan TKR dan Sekutu yang terjadi di Ambarawa pada Desember 1945
Siapa tokoh penting dalam Peristiwa Palagan Ambarawa?,"Tokoh penting dalam Peristiwa Palagan Ambarawa adalah Kolonel Soedirman, yang memimpin serangan melalui taktik supit urang","Kolonel Soedirman, yang memimpin serangan melalui taktik supit urang"
Apa tujuan utama strategi perang gerilya dalam Revolusi Fisik?,Tujuan utama strategi perang gerilya dalam Revolusi Fisik adalah menghindari kekalahan besar dengan cara menyerang secara taktis dan bertahan di wilayah terpencil,Menghindari kekalahan besar dengan cara menyerang secara taktis dan bertahan di wilayah terpencil
Siapa tokoh yang terkenal sebagai pemimpin perang gerilya pada masa Revolusi Fisik?,Tokoh yang terkenal sebagai pemimpin perang gerilya pada masa Revolusi Fisik adalah Jenderal Soedirman,Jenderal Soedirman
Apa peran TKR dalam Revolusi Fisik?,Peran TKR dalam Revolusi Fisik adalah menjadi pasukan militer resmi yang melindungi kedaulatan Republik Indonesia,Menjadi pasukan militer resmi yang melindungi kedaulatan Republik Indonesia
Apa yang dimaksud dengan Laskar Rakyat?,Laskar Rakyat adalah pasukan rakyat yang dibentuk secara sukarela untuk membantu perjuangan militer melawan Sekutu dan NICA,Pasukan rakyat yang dibentuk secara sukarela untuk membantu perjuangan militer melawan Sekutu dan NICA
Apa peran perempuan dalam Revolusi Fisik?,"Peran perempuan dalam Revolusi Fisik adalah menjadi tenaga medis, kurir, serta turut dalam perjuangan bersenjata di beberapa wilayah","Menjadi tenaga medis, kurir, serta turut dalam perjuangan bersenjata di beberapa wilayah"
Apa yang terjadi pada Peristiwa Agresi Militer Belanda I?,Peristiwa Agresi Militer Belanda I adalah serangan besar besaran Belanda terhadap wilayah Republik Indonesia pada Juli 1947,Serangan besar besaran Belanda terhadap wilayah Republik Indonesia pada Juli 1947
Apa tujuan Agresi Militer Belanda I?,Tujuan Agresi Militer Belanda I adalah merebut kembali wilayah wilayah strategis yang dikuasai Republik Indonesia,Merebut kembali wilayah wilayah strategis yang dikuasai Republik Indonesia
Bagaimana respons Indonesia terhadap Agresi Militer Belanda I?,Respons Indonesia terhadap Agresi Militer Belanda I adalah meningkatkan perjuangan militer dan menggalang dukungan internasional melalui diplomasi,Meningkatkan perjuangan militer dan menggalang dukungan internasional melalui diplomasi
Apa yang dimaksud dengan Peristiwa Puputan Margarana?,Peristiwa Puputan Margarana adalah perlawanan terakhir I Gusti Ngurah Rai bersama pasukan Ciung Wanara melawan Belanda di Bali pada 20 November 1946,Perlawanan terakhir I Gusti Ngurah Rai bersama pasukan Ciung Wanara melawan Belanda di Bali pada 20 November 1946
Siapa tokoh penting dalam Peristiwa Puputan Margarana?,Tokoh penting dalam Peristiwa Puputan Margarana adalah I Gusti Ngurah Rai,I Gusti Ngurah Rai
Apa yang dimaksud dengan Perjanjian Linggarjati?,"Perjanjian Linggarjati adalah kesepakatan antara Indonesia dan Belanda pada November 1946 yang mengakui kedaulatan de facto Indonesia di Jawa, Sumatra, dan Madura","Kesepakatan antara Indonesia dan Belanda pada November 1946 yang mengakui kedaulatan de facto Indonesia di Jawa, Sumatra, dan Madura"
Apa tujuan Perjanjian Linggarjati?,Tujuan Perjanjian Linggarjati adalah mengakhiri konflik bersenjata sementara dan membuka jalan menuju pengakuan kedaulatan Indonesia,Mengakhiri konflik bersenjata sementara dan membuka jalan menuju pengakuan kedaulatan Indonesia
Apa yang terjadi pada Perjanjian Renville?,Perjanjian Renville adalah perundingan antara Indonesia dan Belanda pada Januari 1948 yang menghasilkan garis demarkasi Van Mook,Perundingan antara Indonesia dan Belanda pada Januari 1948 yang menghasilkan garis demarkasi Van Mook
Siapa yang menjadi mediator dalam Perjanjian Renville?,"Mediator dalam Perjanjian Renville adalah Komisi Tiga Negara KTN, yang terdiri dari Australia, Belgia, dan Amerika Serikat","Komisi Tiga Negara KTN, yang terdiri dari Australia, Belgia, dan Amerika Serikat"
Apa dampak dari Perjanjian Renville bagi Indonesia?,"Dampak dari Perjanjian Renville bagi Indonesia adalah mundurnya pasukan TNI ke wilayah yang lebih kecil, yang melemahkan posisi militer Indonesia","Mundurnya pasukan TNI ke wilayah yang lebih kecil, yang melemahkan posisi militer Indonesia"
Apa yang terjadi pada Agresi Militer Belanda II?,"Agresi Militer Belanda II adalah serangan besar besaran Belanda pada Desember 1948 yang berhasil menduduki Yogyakarta, ibu kota Republik Indonesia","Serangan besar besaran Belanda pada Desember 1948 yang berhasil menduduki Yogyakarta, ibu kota Republik Indonesia"
Siapa yang menjadi tokoh utama dalam perjuangan diplomasi Indonesia?,Tokoh utama dalam perjuangan diplomasi Indonesia adalah Sutan Sjahrir dan Mohammad Hatta,Sutan Sjahrir dan Mohammad Hatta
Apa isi Perjanjian Roem Roijen?,Isi Perjanjian Roem Roijen adalah Belanda setuju mengembalikan Yogyakarta kepada Republik Indonesia dan menghentikan agresi militer,Belanda setuju mengembalikan Yogyakarta kepada Republik Indonesia dan menghentikan agresi militer
Apa hasil Konferensi Meja Bundar KMB?,Hasil Konferensi Meja Bundar KMB adalah pengakuan kedaulatan Indonesia oleh Belanda pada 27 Desember 1949,Pengakuan kedaulatan Indonesia oleh Belanda pada 27 Desember 1949
Siapa yang menandatangani hasil Konferensi Meja Bundar dari pihak Indonesia?,Yang menandatangani hasil Konferensi Meja Bundar dari pihak Indonesia adalah Mohammad Hatta,Mohammad Hatta
Apa yang terjadi pada Peristiwa Heroik di Semarang?,Peristiwa Heroik di Semarang adalah pertempuran sengit antara pemuda Indonesia dengan pasukan Jepang yang dikenal sebagai Pertempuran Lima Hari pada Oktober 1945,Pertempuran sengit antara pemuda Indonesia dengan pasukan Jepang yang dikenal sebagai Pertempuran Lima Hari pada Oktober 1945
Siapa tokoh penting dalam Pertempuran Lima Hari di Semarang?,"Tokoh penting dalam Pertempuran Lima Hari di Semarang adalah Pandu Kartawiguna, yang memimpin perjuangan rakyat melawan Jepang","Pandu Kartawiguna, yang memimpin perjuangan rakyat melawan Jepang"
Apa yang dimaksud dengan Peristiwa Bojongkokosan?,Peristiwa Bojongkokosan adalah perlawanan besar pejuang Indonesia di Sukabumi yang berhasil menghambat gerak maju tentara Sekutu dan NICA,Perlawanan besar pejuang Indonesia di Sukabumi yang berhasil menghambat gerak maju tentara Sekutu dan NICA
Apa dampak perjuangan rakyat di Sumatra Selatan selama Revolusi Fisik?,Dampak perjuangan rakyat di Sumatra Selatan selama Revolusi Fisik adalah terbentuknya basis pertahanan kuat untuk melawan Belanda di Palembang,Terbentuknya basis pertahanan kuat untuk melawan Belanda di Palembang
Apa kontribusi rakyat Aceh dalam Revolusi Fisik?,"Kontribusi rakyat Aceh dalam Revolusi Fisik adalah memberikan dukungan logistik, finansial, dan menjadi salah satu wilayah yang tidak jatuh ke tangan Belanda","Memberikan dukungan logistik, finansial, dan menjadi salah satu wilayah yang tidak jatuh ke tangan Belanda"
Apa yang terjadi pada Peristiwa Westerling di Sulawesi?,Peristiwa Westerling di Sulawesi adalah pembantaian massal yang dilakukan pasukan Belanda terhadap penduduk sipil pada Desember 1946 hingga Februari 1947,Pembantaian massal yang dilakukan pasukan Belanda terhadap penduduk sipil pada Desember 1946 hingga Februari 1947
Bagaimana rakyat Jawa Barat mempertahankan kemerdekaan dalam Revolusi Fisik?,"Rakyat Jawa Barat mempertahankan kemerdekaan dalam Revolusi Fisik melalui pertempuran sengit di daerah seperti Cimahi, Garut, dan Cianjur","Melalui pertempuran sengit di daerah seperti Cimahi, Garut, dan Cianjur"
Apa yang dimaksud dengan perjuangan rakyat di Banyumas?,Perjuangan rakyat di Banyumas adalah perlawanan gerilya yang dipimpin oleh Gatot Subroto untuk melawan Belanda,Perlawanan gerilya yang dipimpin oleh Gatot Subroto untuk melawan Belanda
Apa peran rakyat Kalimantan dalam Revolusi Fisik?,Peran rakyat Kalimantan dalam Revolusi Fisik adalah memberikan perlawanan bersenjata dan mendukung perjuangan nasional melalui gerakan bawah tanah,Memberikan perlawanan bersenjata dan mendukung perjuangan nasional melalui gerakan bawah tanah
Bagaimana perjuangan rakyat Maluku selama Revolusi Fisik?,Perjuangan rakyat Maluku selama Revolusi Fisik adalah melawan pasukan NICA yang berusaha menguasai kembali wilayah tersebut,Melawan pasukan NICA yang berusaha menguasai kembali wilayah tersebut
Apa dampak Revolusi Fisik terhadap kehidupan sosial rakyat Indonesia?,Dampak Revolusi Fisik terhadap kehidupan sosial rakyat Indonesia adalah meningkatnya semangat persatuan dan kebangsaan,Meningkatnya semangat persatuan dan kebangsaan
Apa dampak ekonomi dari Revolusi Fisik?,Dampak ekonomi dari Revolusi Fisik adalah rusaknya infrastruktur dan terhambatnya perekonomian akibat perang berkepanjangan,Rusaknya infrastruktur dan terhambatnya perekonomian akibat perang berkepanjangan
Bagaimana peran India dalam Revolusi Fisik Indonesia?,Peran India dalam Revolusi Fisik Indonesia adalah menjadi salah satu negara yang mendukung kemerdekaan Indonesia di forum internasional,Menjadi salah satu negara yang mendukung kemerdekaan Indonesia di forum internasional
Apa peran PBB dalam Revolusi Fisik?,Peran PBB dalam Revolusi Fisik adalah membentuk Komisi Tiga Negara untuk membantu menyelesaikan konflik antara Indonesia dan Belanda,Membentuk Komisi Tiga Negara untuk membantu menyelesaikan konflik antara Indonesia dan Belanda
Apa dampak Revolusi Fisik terhadap hubungan Indonesia dengan Belanda?,Dampak Revolusi Fisik terhadap hubungan Indonesia dengan Belanda adalah munculnya ketegangan yang berakhir dengan pengakuan kedaulatan Indonesia,Munculnya ketegangan yang berakhir dengan pengakuan kedaulatan Indonesia
Bagaimana pengaruh Revolusi Fisik terhadap diplomasi internasional Indonesia?,Pengaruh Revolusi Fisik terhadap diplomasi internasional Indonesia adalah meningkatkan pengakuan dunia terhadap kedaulatan Indonesia,Meningkatkan pengakuan dunia terhadap kedaulatan Indonesia
Apa kontribusi Australia dalam perjuangan diplomasi Indonesia?,Kontribusi Australia dalam perjuangan diplomasi Indonesia adalah mendukung Indonesia di KTN dan melobi Sekutu untuk menghentikan agresi Belanda,Mendukung Indonesia di KTN dan melobi Sekutu untuk menghentikan agresi Belanda
Apa dampak Revolusi Fisik terhadap semangat perjuangan di Asia Tenggara?,Dampak Revolusi Fisik terhadap semangat perjuangan di Asia Tenggara adalah menjadi inspirasi bagi negara negara lain untuk melawan kolonialisme,Menjadi inspirasi bagi negara negara lain untuk melawan kolonialisme
Apa peran Uni Soviet dalam Revolusi Fisik?,Peran Uni Soviet dalam Revolusi Fisik adalah memberikan dukungan moral terhadap perjuangan Indonesia di forum internasional,Memberikan dukungan moral terhadap perjuangan Indonesia di forum internasional
Apa arti penting Revolusi Fisik bagi Indonesia?,Arti penting Revolusi Fisik bagi Indonesia adalah memperkuat kedaulatan dan meletakkan dasar bagi pembentukan negara yang merdeka dan berdaulat,Memperkuat kedaulatan dan meletakkan dasar bagi pembentukan negara yang merdeka dan berdaulat
Apa yang menjadi latar belakang diadakannya Konferensi Meja Bundar?,Latar belakang diadakannya Konferensi Meja Bundar adalah adanya desakan internasional untuk menyelesaikan konflik antara Indonesia dan Belanda secara damai,Adanya desakan internasional untuk menyelesaikan konflik antara Indonesia dan Belanda secara damai
Apa peran Perjanjian Roem Roijen dalam menuju Konferensi Meja Bundar?,Peran Perjanjian Roem Roijen dalam menuju Konferensi Meja Bundar adalah menciptakan kesepakatan awal yang membuka jalan untuk perundingan lanjutan,Menciptakan kesepakatan awal yang membuka jalan untuk perundingan lanjutan
Apa tujuan utama Konferensi Meja Bundar?,Tujuan utama Konferensi Meja Bundar adalah untuk menyelesaikan konflik Indonesia Belanda dan memberikan pengakuan kedaulatan kepada Indonesia,Untuk menyelesaikan konflik Indonesia Belanda dan memberikan pengakuan kedaulatan kepada Indonesia
Siapa pihak yang terlibat dalam Konferensi Meja Bundar?,"Pihak yang terlibat dalam Konferensi Meja Bundar adalah delegasi Indonesia, Belanda, dan BFO Bijeenkomst voor Federaal Overleg","Delegasi Indonesia, Belanda, dan BFO Bijeenkomst voor Federaal Overleg"
Apa yang dimaksud dengan BFO dalam Konferensi Meja Bundar?,BFO dalam Konferensi Meja Bundar adalah organisasi perwakilan negara negara federal bentukan Belanda di Indonesia,Organisasi perwakilan negara negara federal bentukan Belanda di Indonesia
Kapan dan di mana Konferensi Meja Bundar diadakan?,"Konferensi Meja Bundar diadakan pada 23 Agustus hingga 2 November 1949 di Den Haag, Belanda","Pada 23 Agustus hingga 2 November 1949 di Den Haag, Belanda"
Siapa yang memimpin delegasi Indonesia dalam Konferensi Meja Bundar?,Delegasi Indonesia dalam Konferensi Meja Bundar dipimpin oleh Mohammad Hatta,Mohammad Hatta
Apa peran Komisi PBB untuk Indonesia dalam Konferensi Meja Bundar?,Peran Komisi PBB untuk Indonesia dalam Konferensi Meja Bundar adalah menjadi mediator antara Indonesia dan Belanda,Menjadi mediator antara Indonesia dan Belanda
Apa yang menjadi tuntutan utama Indonesia dalam Konferensi Meja Bundar?,Tuntutan utama Indonesia dalam Konferensi Meja Bundar adalah pengakuan penuh atas kedaulatan Republik Indonesia Serikat,Pengakuan penuh atas kedaulatan Republik Indonesia Serikat
Apa alasan Belanda akhirnya setuju untuk mengadakan Konferensi Meja Bundar?,Alasan Belanda akhirnya setuju untuk mengadakan Konferensi Meja Bundar adalah tekanan internasional dan melemahnya posisi Belanda setelah Perang Dunia II,Tekanan internasional dan melemahnya posisi Belanda setelah Perang Dunia II
Apa isu utama yang dibahas dalam Konferensi Meja Bundar?,"Isu utama yang dibahas dalam Konferensi Meja Bundar adalah pengakuan kedaulatan Indonesia, status Papua, dan pembentukan Republik Indonesia Serikat","Pengakuan kedaulatan Indonesia, status Papua, dan pembentukan Republik Indonesia Serikat"
